timestamp,agent_type,avg_wait_time,avg_queue_length,total_throughput,total_reward
2025-10-14T20:56:45.816796,q-learning,62.56,9.39,434,-45046.00
2025-10-14T20:58:41.218828,dqn,62.56,9.39,434,-45046.00
2025-10-14T21:00:46.680698,d3qn,62.56,9.39,434,-45046.00
2025-10-14T21:02:06.287543,fixed-time,217.03,16.77,362,-156263.00
