agent_type,episode_timestamp,step,previous_phase,duration,action_taken
dqn,2025-10-16T18:05:45.334531,470,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,475,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,480,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,485,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,490,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,495,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,500,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,505,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,510,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,515,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,520,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,525,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,530,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,535,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,540,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,545,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,550,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,555,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,560,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,565,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,570,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,575,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,580,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,585,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,590,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,595,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,600,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,605,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,610,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,615,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,620,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,625,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,630,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,635,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,640,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,645,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,650,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,655,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,660,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,665,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,670,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,675,0.0,5,SWITCH
